"id","name","broader","narrower","used_for","related"
"XX35122","Adolescence","","","",""
"XX36445","Adolescence - Puberty","Adolescence","","Puberty","Reproduction - Puberty"
"XX35125","Aged","","","",""
"XX35128","Aged - Care","Aged","","",""
"XX35129","Aged - Care - Housing","Aged - Care","","",""
"XX35127","Aged - Care - Nursing homes","Aged - Care","","Nursing homes",""
"XX35126","Aged - Retirement income","Aged","","Superannuation;Retirement income","Economics - Income"
"XX35130","Aged - Retirement income - Pensions","Aged - Retirement income","","Pensions - Aged;Old age pensions;Pensions - Old age","Social welfare - Government - Social security payments"
"XX35142","Animals","","","",""
"XX100579","Animals - Amphibians","Animals","","Amphibians;Amphibia",""
"XX35143","Animals - Amphibians - Frogs and toads","Animals - Amphibians","","Animals - Amphibians -Toads;Amphibians - Frogs and toads;Amphibians -Toads;Amphibia - Frogs and toads;Amphibia -Toads;Animals - Amphibia - Frogs and toads;Animals - Amphibia - Toads;Frogs and toads;Toads",""
"XX35283","Animals - Birds","Animals","","Birds",""
"XX35273","Animals - Birds - Brolgas","Animals - Birds","","Birds - Brolgas;Brolgas",""
"XX43008","Animals - Birds - Bustards / Turkeys / Bush turkeys","Animals - Birds","","Animals - Birds - Turkeys;Birds - Turkeys;Bustards / Turkeys / Bush turkeys;Birds - Bustards / Turkeys / Bush turkeys;Birds - Bush turkeys;Turkeys;Bush turkeys",""
"XX35274","Animals - Birds - Cassowaries","Animals - Birds","","Birds - Cassowaries;Cassowaries",""
"XX35275","Animals - Birds - Ducks / Geese","Animals - Birds","","Birds - Geese;Ducks;Birds - Ducks;Geese",""
"XX35276","Animals - Birds - Eagles / Hawks / Crows","Animals - Birds","","Animals - Birds - Hawks;Animals - Birds - Crows;Eagles / Hawks / Crows;Birds - Eagles / Hawks / Crows;Birds - Hawks;Birds - Crows;Hawks;Crows",""
"XX35277","Animals - Birds - Emus","Animals - Birds","","Birds - Emus;Emus",""
"XX35278","Animals - Birds - Kookaburras / Kingfishers","Animals - Birds","","Animals - Birds - Kingfishers;Kookaburras / Kingfishers;Birds - Kookaburras / Kingfishers;Birds - Kingfishers;Kingfishers;Kookaburras",""
"XX35279","Animals - Birds - Lyrebirds","Animals - Birds","","Birds - Lyrebirds;Lyrebirds",""
"XX72904","Animals - Birds - Mallee fowl","Animals - Birds","","Mallee fowl;Birds - Mallee fowl",""
"XX35280","Animals - Birds - Mutton birds","Animals - Birds","","Birds - Mutton birds;Muttonbirds;Mutton birds",""
"XX178038","Animals - Birds - Owls","Animals - Birds","","Owls",""
"XX35281","Animals - Birds - Parrots","Animals - Birds","","Birds - Parrots;Parrots;Cockatoos;Galahs;Rosellas",""
"XX35148","Animals - Endangered","Animals","","Environment - Biodiversity - Animals - Endangered;Endangered animals","Environment - Biodiversity - Animals"
"XX35151","Animals - Feral animals","Animals","","Feral animals;Vertebrate pests",""
"XX112804","Animals - Feral animals - Buffalo control","Animals - Feral animals","","Buffalo control;Feral buffalo control;Feral buffaloes","Animals - Mammals - Buffaloes"
"XX112803","Animals - Feral animals - Camel control","Animals - Feral animals","","Camel control;Feral camel control;Feral camels","Animals - Mammals - Camels"
"XX112805","Animals - Feral animals - Cat control","Animals - Feral animals","","Cat control;Feral cat control;Feral cats","Animals - Mammals - Cats"
"XX35149","Animals - Feral animals - Dingo control","Animals - Feral animals","","Feral animals - Dingo control;Dingo control","Animals - Mammals - Dingoes / Dogs"
"XX112802","Animals - Feral animals - Fox control","Animals - Mammals - Foxes","","Fox control;Feral foxes;Feral fox control",""
"XX112806","Animals - Feral animals - Pig control","Animals - Mammals - Pigs","","Pig control;Feral pig control;Feral pigs",""
"XX35150","Animals - Feral animals - Rabbit control","Animals - Feral animals","","Feral animals - Rabbit control;Feral rabbit control;Rabbit control","Animals - Mammals - Rabbits"
"XX35700","Animals - Fish","Animals","","Fish",""
"XX35694","Animals - Fish - Barramundi","Animals - Fish","","Fish - Barramundi;Barramundi","Stories and motifs - Barramundi"
"XX35695","Animals - Fish - Eels","Animals - Fish","","Fish - Eels;Eels",""
"XX83491","Animals - Fish - Lungfish","Animals - Fish","","Fish - Lungfish;Lungfish",""
"XX115100","Animals - Fish - Murray cod","Animals - Fish","","Fish - Murray cod;Murray cod",""
"XX35696","Animals - Fish - Sharks","Animals - Fish","","Fish - Sharks;Sharks","Stories and motifs - Sharks"
"XX35697","Animals - Fish - Stingrays","Animals - Fish","","Fish - Stingrays;Stingrays","Stories and motifs - Stingrays"
"XX35931","Animals - Invertebrates","Animals","","Invertebrates","Stories and motifs - Invertebrates;Art - Subjects - Animals - Invertebrates"
"XX35927","Animals - Invertebrates - Crustacea and molluscs","Animals - Invertebrates","","Animals - Invertebrates - Molluscs;Invertebrates - Crustacea and molluscs;Invertebrates - Molluscs;Crustacea and molluscs;Molluscs",""
"XX36465","Animals - Invertebrates - Crustacea and molluscs - Abalone","Animals - Invertebrates - Crustacea and molluscs","","Crustacea and molluscs - Abalone;Invertebrates - Crustacea and molluscs - Abalone;Abalone",""
"XX36466","Animals - Invertebrates - Crustacea and molluscs - Beche-de-mer / Trepang","Animals - Invertebrates - Crustacea and molluscs","","Invertebrates - Crustacea and molluscs - Trepang;Animals - Invertebrates - Crustacea and molluscs - Trepang;Crustacea and molluscs - Beche-de-mer / Trepang;Crustacea and molluscs - Trepang;Invertebrates - Crustacea and molluscs - Beche-de-mer / Trepang;Beche-de-mer / Trepang;Trepang","Economic sectors - Trepang"
"XX36467","Animals - Invertebrates - Crustacea and molluscs - Clams","Animals - Invertebrates - Crustacea and molluscs","","Invertebrates - Crustacea and molluscs - Clams;Crustacea and molluscs - Clams;Clams",""
"XX36468","Animals - Invertebrates - Crustacea and molluscs - Crabs / Mudcrabs","Animals - Invertebrates - Crustacea and molluscs","","Animals - Invertebrates - Crustacea and molluscs - Mudcrabs;Invertebrates - Crustacea and molluscs - Crabs / Mudcrabs;Invertebrates - Crustacea and molluscs - Mudcrabs;Crustacea and molluscs - Crabs / Mudcrabs;Crustacea and molluscs - Mudcrabs;Crabs / Mudcrabs;Mudcrabs",""
"XX36469","Animals - Invertebrates - Crustacea and molluscs - Crayfish / Lobster / Yabbies","Animals - Invertebrates - Crustacea and molluscs","","Animals - Invertebrates - Crustacea and molluscs - Lobster / Yabbies;Animals - Invertebrates - Crustacea and molluscs - Yabbies;Invertebrates - Crustacea and molluscs - Crayfish / Lobster / Yabbies;Invertebrates - Crustacea and molluscs - Lobster / Yabbies;Invertebrates - Crustacea and molluscs - Yabbies;Crustacea and molluscs - Crayfish / Lobster / Yabbies;Crustacea and molluscs - Lobster / Yabbies;Crustacea and molluscs - Yabbies;Crayfish / Lobster / Yabbies;Lobster / Crayfish;Yabbies",""
"XX36470","Animals - Invertebrates - Crustacea and molluscs - Mussels","Animals - Invertebrates - Crustacea and molluscs","","Invertebrates - Crustacea and molluscs - Mussels;Crustacea and molluscs - Mussels;Mussels",""
"XX36471","Animals - Invertebrates - Crustacea and molluscs - Octopus / Squid","Animals - Invertebrates - Crustacea and molluscs","","Animals - Invertebrates - Crustacea and molluscs - Squid;Invertebrates - Crustacea and molluscs - Squid;Invertebrates - Crustacea and molluscs - Octopus / Squid;Crustacea and molluscs - Octopus / Squid;Crustacea and molluscs - Squid;Octopus / Squid;Squid",""
"XX36472","Animals - Invertebrates - Crustacea and molluscs - Oysters","Animals - Invertebrates - Crustacea and molluscs","","Invertebrates - Crustacea and molluscs - Oysters;Crustacea and molluscs - Oysters;Oysters",""
"XX36473","Animals - Invertebrates - Crustacea and molluscs - Prawns / Shrimp","Animals - Invertebrates - Crustacea and molluscs","","Animals - Invertebrates - Crustacea and molluscs - Shrimp;Invertebrates - Crustacea and molluscs - Prawns / Shrimp;Invertebrates - Crustacea and molluscs - Shrimp;Crustacea and molluscs - Prawns / Shrimp;Crustacea and molluscs - Shrimp;Prawns / Shrimp;Shrimp",""
"XX36476","Animals - Invertebrates - Crustacea and molluscs - Shellfish etc.","Animals - Invertebrates - Crustacea and molluscs","","Invertebrates - Crustacea and molluscs - Shellfish etc;Crustacea and molluscs - Shellfish etc;Cockles;Pipis;Whelks;Periwinkles",""
"XX36474","Animals - Invertebrates - Crustacea and molluscs - Trochus","Animals - Invertebrates - Crustacea and molluscs","","Invertebrates - Crustacea and molluscs - Trochus;Crustacea and molluscs - Trochus;Trochus",""
"XX35928","Animals - Invertebrates - Insects","Animals - Invertebrates","","Invertebrates - Insects;Insects","Food - Insects;Gathering - Insects;Religion - Dreaming - Insects;Stories and motifs - Insects"
"XX35916","Animals - Invertebrates - Insects - Ants","Animals - Invertebrates - Insects","","Invertebrates - Insects - Ants;Insects - Ants;Ants","Gathering - Insects - Ants and termites;Stories and motifs - Ants and termites"
"XX103344","Animals - Invertebrates - Insects - Ants - Nests","Animals - Invertebrates - Insects - Ants","","Insects - Ants - Nests;Invertebrates - Insects - Ants - Nests;Ant hills;Ant beds;Ants - Nests;Nests - Ants",""
"XX35917","Animals - Invertebrates - Insects - Bees","Animals - Invertebrates - Insects","","Invertebrates - Insects - Bees;Insects - Bees;Bees",""
"XX35918","Animals - Invertebrates - Insects - Butterflies / Moths","Animals - Invertebrates - Insects","","Animals - Invertebrates - Insects - Moths;Invertebrates - Insects - Moths;Invertebrates - Insects - Butterflies / Moths;Insects - Butterflies / Moths;Insects - Moths;Butterflies / Moths;Moths;Bogong moths",""
"XX35919","Animals - Invertebrates - Insects - Flies","Animals - Invertebrates - Insects","","Invertebrates - Insects - Flies;Insects - Flies;Flies",""
"XX35920","Animals - Invertebrates - Insects - Grasshoppers / Locusts","Animals - Invertebrates - Insects","","Animals - Invertebrates - Insects - Locusts;Invertebrates - Insects - Grasshoppers / Locusts;Invertebrates - Insects - Locusts;Insects - Grasshoppers / Locusts;Insects - Locusts;Grasshoppers / Locusts;Locusts",""
"XX35921","Animals - Invertebrates - Insects - Grubs / Witchetty","Animals - Invertebrates - Insects","","Invertebrates - Insects - Grubs / Witchetty;Invertebrates - Insects - Witchetty;Insects - Grubs / Witchetty;Insects - Witchetty;Animals - Invertebrates - Insects -  Witchetty;Grubs / Witchetty;Witchetty",""
"XX35922","Animals - Invertebrates - Insects - Mosquitoes","Animals - Invertebrates - Insects","","Invertebrates - Insects - Mosquitoes;Insects - Mosquitoes;Mosquitoes",""
"XX35924","Animals - Invertebrates - Insects - Termites","Animals - Invertebrates - Insects","","Invertebrates - Insects - Termites;Insects - Termites;Termites",""
"XX103345","Animals - Invertebrates - Insects - Termites - Nests","Animals - Invertebrates - Insects - Termites","","Invertebrates - Insects - Termites - Nests;Insects - Termites - Nests;Termite mounds;Mounds - Termites;Termites - Nests;Nests - Termites",""
"XX43145","Animals - Invertebrates - Jellyfish, sea wasps etc.","Animals - Invertebrates","","Animals - Invertebrates - Sea wasps, jellyfish etc.;Invertebrates - Jellyfish, sea wasps etc.;Invertebrates - Sea wasps etc.;Jellyfish, sea wasps etc.;Sea wasps",""
"XX35929","Animals - Invertebrates - Scorpions","Animals - Invertebrates","","Invertebrates - Scorpions;Scorpions",""
"XX35930","Animals - Invertebrates - Spiders","Animals - Invertebrates","","Invertebrates - Spiders;Spiders",""
"XX43153","Animals - Invertebrates - Starfish, sea anemones, corals etc.","Animals - Invertebrates","","Animals - Invertebrates - Sea anemones, corals, starfish etc.;Animals - Invertebrates - Corals, starfish, sea anemones etc.;Invertebrates - Sea anemones, corals, starfish etc.;Invertebrates - Starfish, sea anemones, corals etc.;Invertebrates - Corals, starfish, sea anemones etc.;Starfish, sea anemones, corals etc.;Sea anemones;Corals",""
"XX36091","Animals - Livestock","Animals","","Livestock","Animals - Mammals"
"XX36087","Animals - Livestock - Horse breaking","Animals - Livestock","","Livestock - Horse breaking;Horse breaking",""
"XX36090","Animals - Livestock - Stealing and killing","Animals - Livestock","","Livestock - Stealing and killing;Livestock - Killing;Sheep stealing;Cattle rustling;Cattle - Rustling;Stealing and killing","Crime - Against property"
"XX35155","Animals - Mammals","Animals","","Mammals",""
"XX35152","Animals - Mammals - Bats / Flying foxes","Animals - Mammals","","Animals - Mammals - Flying foxes;Animals - Bats;Animals - Flying foxes;Mammals - Bats / Flying foxes;Mammals - Flying foxes;Bats / Flying foxes;Flying foxes;Chiroptera",""
"XX35144","Animals - Mammals - Buffaloes","Animals - Mammals","","Mammals - Buffaloes;Animals - Buffaloes;Buffaloes",""
"XX35145","Animals - Mammals - Camels","Animals - Mammals","","Animals - Camels;Mammals - Camels;Camels",""
"XX35146","Animals - Mammals - Cats","Animals - Mammals","","Mammals - Cats;Cats",""
"XX36084","Animals - Mammals - Cattle","Animals - Mammals","","Mammals - Cattle;Livestock - Cattle;Cattle","Animals - Livestock"
"XX35147","Animals - Mammals - Dingoes / Dogs","Animals - Mammals","","Mammals - Dingoes / Dogs;Animals - Dingoes / Dogs;Mammals - Dogs;Animals - Mammals - Dogs;Dingoes / Dogs;Dogs",""
"XX36085","Animals - Mammals - Donkeys / Mules","Animals - Mammals","","Animals - Mammals - Mules;Mammals - Donkeys / Mules;Mammals - Mules;Livestock - Donkeys;Livestock - Mules;Donkeys and mules;Mules","Animals - Livestock"
"XX35153","Animals - Mammals - Echidnas","Animals - Mammals","","Mammals - Echidnas;Echidnas",""
"XX188652","Animals - Mammals - Foxes","Animals - Mammals","","Foxes",""
"XX36086","Animals - Mammals - Goats","Animals - Mammals","","Mammals - Goats;Livestock - Goats;Goats","Animals - Livestock"
"XX36088","Animals - Mammals - Horses","Animals - Mammals","","Mammals - Horses;Livestock - Horses;Horses","Animals - Livestock"
"XX65179","Animals - Mammals - Marsupial megafauna","Animals - Mammals","","Animals - Megafauna;Mammals - Marsupials - Megafauna;Animals - Marsupial megafauna;Marsupials - Megafauna;Megafauna",""
"XX35162","Animals - Mammals - Marsupial megafauna - Diprotodons","Animals - Mammals - Marsupial megafauna","","Mammals - Marsupial megafauna - Diprotodons;Marsupial megafauna - Diprotodons;Diprotodons",""
"XX35172","Animals - Mammals - Marsupials","Animals - Mammals","","Mammals - Marsupials;Animals - Marsupials;Marsupials;Small marsupials",""
"XX35164","Animals - Mammals - Marsupials - Bandicoots / Bilbies","Animals - Mammals - Marsupials","","Mammals - Marsupials - Bandicoots / Bilbies;Mammals - Marsupials - Bilbies;Animals - Mammals - Marsupials - Bilbies;Marsupials - Bandicoots / Bilbies;Marsupials - Bilbies;Bandicoots / Bilbies;Bilbies;Animals - Marsupials -  Bandicoots / Bilbies",""
"XX35165","Animals - Mammals - Marsupials - Kangaroos / Wallabies","Animals - Mammals - Marsupials","","Animals - Mammals - Marsupials - Wallabies;Mammals - Marsupials - Kangaroos / Wallabies;Mammals - Marsupials - Wallabies;Marsupials - Kangaroos / Wallabies;Marsupials - Wallabies;Animals - Marsupials - Kangaroos / Wallabies;Animals - Marsupials - Wallabies;Kangaroos / Wallabies;Wallabies;Macropods",""
"XX35166","Animals - Mammals - Marsupials - Koalas","Animals - Mammals - Marsupials","","Animals - Marsupials - Koalas;Mammals - Marsupials - Koalas;Marsupials - Koalas;Koalas",""
"XX103270","Animals - Mammals - Marsupials - Marsupial Moles","Animals - Mammals - Marsupials","","Animals - Mammals - Marsupials - Moles;Mammals - Marsupials - Marsupial Moles;Marsupials - Marsupial Moles;Marsupial Moles;Moles",""
"XX103265","Animals - Mammals - Marsupials - Native cats / Quolls","Animals - Mammals - Marsupials","","Animals - Mammals - Marsupials - Quolls;Quolls;Native cats;Mammals - Marsupials - Native cats / Quolls;Mammals - Marsupials - Quolls;Marsupials - Native cats / Quolls;Marsupials - Quolls",""
"XX103266","Animals - Mammals - Marsupials - Numbats","Animals - Mammals - Marsupials","","Marsupials - Numbats;Animals - Marsupials - Numbats;Mammals - Marsupials - Numbats;Numbats",""
"XX35167","Animals - Mammals - Marsupials - Possums / Gliders / Cuscus","Animals - Mammals - Marsupials","","Mammals - Marsupials - Possums / Gliders / Cuscus;Mammals - Marsupials - Gliders;Mammals - Marsupials - Cuscus;Animals - Mammals - Marsupials - Cuscus;Animals - Mammals - Marsupials - Gliders;Possums / Gliders / Cuscus;Gliders, Possums etc.;Cuscus",""
"XX35168","Animals - Mammals - Marsupials - Pottoroos / Bettongs","Animals - Mammals - Marsupials","","Mammals - Marsupials - Pottoroos / Bettongs;Mammals - Marsupials - Bettongs;Animals - Mammals - Marsupials - Bettongs;Marsupials - Bettongs;Marsupials - Pottoroos / Bettongs;Pottoroos / Bettongs;Bettongs",""
"XX103269","Animals - Mammals - Marsupials - Rat Kangaroo","Animals - Mammals - Marsupials","","Mammals - Marsupials - Rat Kangaroo;Marsupials - Rat Kangaroo;Rat Kangaroo",""
"XX103267","Animals - Mammals - Marsupials - Rats / Mice","Animals - Mammals - Marsupials","","Mammals - Marsupials - Rats / Mice;Mammals - Marsupials - Mice;Marsupials - Rats / Mice;Rats;Mice;Animals - Mammals - Marsupials - Mice",""
"XX35169","Animals - Mammals - Marsupials - Sarcophilus / Tasmanian Devil","Animals - Mammals - Marsupials","","Marsupials - Sarcophilus / Tasmanian Devil;Mammals - Marsupials - Tasmanian Devil;Mammals - Marsupials - Sarcophilus / Tasmanian Devil;Marsupials - Tasmanian Devil;Animals - Mammals - Marsupials - Tasmanian Devil;Sarcophilus;Tasmanian Devil",""
"XX35170","Animals - Mammals - Marsupials - Thylacines / Tasmanian Tiger","Animals - Mammals - Marsupials","","Animals - Mammals - Marsupials - Tasmanian Tiger;Mammals - Marsupials - Thylacines / Tasmanian Tiger;Mammals - Marsupials - Tasmanian Tiger;Marsupials - Thylacines / Tasmanian Tiger;Marsupials - Tasmanian Tiger;Thylacines / Tasmanian Tiger;Tasmanian Tiger",""
"XX35171","Animals - Mammals - Marsupials - Wombats","Animals - Mammals - Marsupials","","Mammals - Marsupials - Wombats;Animals - Marsupials - Wombats;Marsupials - Wombats;Wombats",""
"XX35174","Animals - Mammals - Pigs","Animals - Mammals","","Mammals - Pigs;Pigs",""
"XX35154","Animals - Mammals - Platypus","Animals - Mammals","","Mammals - Platypus;Platypus",""
"XX35175","Animals - Mammals - Primates","Animals - Mammals","","Mammals - Primates;Primates",""
"XX35176","Animals - Mammals - Rabbits","Animals - Mammals","","Mammals - Rabbits;Rabbits",""
"XX35183","Animals - Mammals - Rodents","Animals - Mammals","","Animals - Mammals - Rats;Mammals - Rats;Animals - Mammals - Mice;Mammals - Mice;Mammals - Rodents;Rodents",""
"XX36089","Animals - Mammals - Sheep","Animals - Mammals","","Mammals - Sheep;Livestock - Sheep;Sheep","Animals - Livestock"
"XX35161","Animals - Marine mammals","Animals - Mammals","","Marine mammals",""
"XX35156","Animals - Marine mammals - Dolphins","Animals - Marine mammals","","Marine mammals - Dolphins;Dolphins",""
"XX35157","Animals - Marine mammals - Dugongs","Animals - Marine mammals","","Marine mammals - Dugongs;Dugongs",""
"XX35158","Animals - Marine mammals - Porpoises","Animals - Marine mammals","","Marine mammals - Porpoises;Porpoises",""
"XX35159","Animals - Marine mammals - Seals","Animals - Marine mammals","","Marine mammals - Seals;Seals",""
"XX35160","Animals - Marine mammals - Whales","Animals - Marine mammals","","Marine mammals - Whales;Whales",""
"XX35173","Animals - Pets","Animals","","Pets",""
"XX35182","Animals - Reptiles","Animals","","Reptiles",""
"XX35177","Animals - Reptiles - Crocodiles","Animals - Reptiles","","Reptiles - Crocodiles;Crocodiles",""
"XX35178","Animals - Reptiles - Dinosaurs","Animals - Reptiles","","Reptiles - Dinosaurs;Dinosaurs","Palaeontology - Palaeozoology"
"XX35179","Animals - Reptiles - Lizards / Goannas","Animals - Reptiles","","Animals - Reptiles - Goannas;Reptiles - Lizards / Goannas;Reptiles - Goannas;Lizards / Goannas;Goannas",""
"XX35180","Animals - Reptiles - Snakes","Animals - Reptiles","","Reptiles - Snakes;Snakes",""
"XX35181","Animals - Reptiles - Turtles / Tortoise","Animals - Reptiles","","Animals - Reptiles -Tortoise;Reptiles - Turtles / Tortoise;Reptiles -Tortoise;Turtles / Tortoise;Tortoise",""
"XX43615","Anthropology","","","",""
"XX39091","Anthropology - Theory and criticism","Anthropology","","Theory and criticism - Anthropology",""
"XX35191","Archaeology","","","",""
"XX35190","Archaeology - Archaeobotany","Archaeology","","Archaeobotany;Archeology - Archeobotany;Palynology;Pollen analysis",""
"XX39344","Archaeology - Archaeozoology","Archaeology","","Archaeozoology;Archeology - Archeozoology",""
"XX103754","Archaeology - Experimental","Archaeology","","Experimental archaeology",""
"XX56697","Archaeology - Intensification","Archaeology","","Intensification",""
"XX40080","Archaeology - Settlement patterns","Archaeology","","Settlement patterns",""
"XX39090","Archaeology - Theory and criticism","Archaeology","","Theory and criticism - Archaeology",""
"XX100891","Archives and archiving","","","Archiving;Archives issues","Cultural heritage - Protection"
"XX167164","Archives and archiving - Collections and acquisitions","Archives and archiving","","Archive collections;Manuscript colllections",""
"XX107991","Archives and archiving - Film","Archives and archiving","","Archives issues - Film;Film archiving","Film;Cultural heritage - Protection"
"XX70729","Archives and archiving - Manuscripts and records","Archives and archiving","","Manuscripts and records - Archives and archiving",""
"XX36833","Archives and archiving - Photographs","Archives and archiving","","Photographs - Archives issues;Photography - Archives issues","Cultural heritage - Protection"
"XX36835","Archives and archiving - Sound","Archives and archiving","","Sound recordings and sound archives;Sound recording and sound archiving;Sound recording - Archives and archiving;Sound archives issues","Cultural heritage - Protection"
"XX36007","Archives and archiving - Sound - Languages","Archives and archiving - Sound","","Language - Archives and archiving;Languages - Sound archives issues;Language - Sound archives issues;Sound recording - Languages - Archives and archiving","Language - Linguistics;Cultural heritage - Protection"
"XX36189","Archives and archiving - Sound - Music","Archives and archiving - Sound","","Music - Archives and archiving;Sound recording - Music - Archives and archiving;Music - Sound archives issues;Sound archives issues - Music","Cultural heritage - Protection"
"XX36234","Archives and archiving - Sound - Oral history","Archives and archiving - Sound","","Oral history - Archives and archiving;Oral history - Sound archives issues;Sound recording - Oral history - Archives and archiving;Sound archives issues - Oral history","Cultural heritage - Protection"
"XX103589","Archives and archiving - Sound - Sound recording","Archives and archiving - Sound","","Recording - Sound;Sound recording",""
"XX35193","Art","","","",""
"XX167699","Art - Aboriginalia","Art","","Aboriginalia",""
"XX39693","Art - Aesthetics","Art","","",""
"XX35242","Art - Art motifs","Art","","Art motifs;Art - Motifs;Motifs - Art",""
"XX35228","Art - Art motifs - Abstract","Art - Art motifs","","Abstract art motifs;Abstract motifs;Art motifs - Abstract",""
"XX109611","Art - Art motifs - Cross-hatching","Art - Art motifs","","Art motifs - Cross-hatching;Cross-hatching",""
"XX109612","Art - Art motifs - Cross-hatching - Rarrk","Art - Art motifs - Cross-hatching","","Rarrk;Cross-hatching - Rarrk",""
"XX35231","Art - Art motifs - Dot","Art - Art motifs","","Dot motifs and styles;Art motifs - Dot","Art - Painting - Acrylic - Dot"
"XX35233","Art - Art motifs - Geometric","Art - Art motifs","","Art motifs - Geometric;Geometric art motifs;Geometric motifs;Circle motifs",""
"XX35234","Art - Art motifs - Hand","Art - Art motifs","","Art motifs - Hand;Hand motifs",""
"XX35235","Art - Art motifs - Human figure","Art - Art motifs","","Art motifs - Human figure;Human figure motifs",""
"XX35236","Art - Art motifs - Hunting and weapon","Art - Art motifs","","Art motifs - Hunting and weapon;Hunting and weapon motifs;Weapon motifs",""
"XX103511","Art - Art motifs - Landscape","Art - Art motifs","","Landscape - Art motifs",""
"XX100899","Art - Art motifs - Parietal marks","Art - Art motifs","","Art motifs - Parietal marks;Parietal marks",""
"XX103510","Art - Art motifs - Portrait","Art - Art motifs","","Portrait - Art motifs",""
"XX35238","Art - Art motifs - Stencil","Art - Art motifs","","Art motifs - Stencil;Stencil motifs",""
"XX35239","Art - Art motifs - Track and footprint","Art - Art motifs","","Art motifs - Track and footprint;Art - Art motifs - Footprint;Track and footprint art motifs;Footprint art motifs",""
"XX35241","Art - Art motifs - X-Ray","Art - Art motifs","","Art motifs - X-ray;X-Ray art motifs",""
"XX35245","Art - Artists","Art","","Artists",""
"XX101149","Art - Artists - Attribution and authenticity","Art - Artists","","Artists - Attribution and authenticity;Authenticity - Artists;Attribution - Artists","Art - Authenticity"
"XX109774","Art - Artists - Education / training","Art - Artists","","Art education;Artists - Education",""
"XX176781","Art - Artists - Emerging","Art - Artists","","Emerging artists",""
"XX35243","Art - Artists - Men","Art - Artists","","Artists - Men",""
"XX35244","Art - Artists - Women","Art - Artists","","Artists - Women;Women artists",""
"XX43397","Art - Authenticity","Art","","Appropriation (Art)",""
"XX43197","Art - Awards and prizes","Art","","Art awards;Awards, Art;Prizes, Art;Art - Prizes",""
"XX68323","Art - Beeswax","Art","","Beeswax",""
"XX35198","Art - Body art","Art","","Body art;Art - Body painting;Body painting","Body - Decoration"
"XX35204","Art - Body art - Face","Art - Body art","","Art - Body painting - Face;Face painting;Art - Face painting;Body painting - Face;Body art - Face",""
"XX35199","Art - Cartoon, comics and caricature","Art","","Cartoons and caricatures;Art - Comics;Art - Caricature;Caricatures;Comics - Art",""
"XX120774","Art - Carving and engraving","Art","","Carving and engraving;Engraving",""
"XX35197","Art - Carving and engraving - Boab nuts","Art - Carving and engraving","","Boab nut carvings;Art - Boab nut carving;Carvings - Boab nut",""
"XX35203","Art - Carving and engraving - Emu egg","Art - Carving and engraving","","Art - Emu egg carving;Emu egg carving;Carvings - Emu egg",""
"XX100897","Art - Catalogues","Art","","Catalogues - Art;Catalogs - Art",""
"XX35465","Art - Ceramics","Art","","Crafts - Pottery;Ceramic crafts;Arts and crafts - Pottery;Arts and crafts - Ceramics;Ceramic works;Ceramics;Crafts - Ceramic works;Pottery;Art - Pottery",""
"XX35200","Art - Childrens art","Art","","Children's art",""
"XX100909","Art - Collections","Art","","Collections of art;Art collections","Art - Galleries;Art - Exhibitions;Cultural heritage - Protection - Museums and keeping places - Collections and acquisitions"
"XX100919","Art - Collections - Acquisitions","Art - Collections","","Acquisitions - Art","Art - Galleries"
"XX100921","Art - Collections - Collectors","Art - Collections","","Collectors - Art",""
"XX104377","Art - Collections - Curators and curation","Art - Collections","","Collections of art - Curators and curation;Curators and curation - Art;Curation - Art",""
"XX102562","Art - Conceptual","Art","","Conceptual art",""
"XX131983","Art - Conservation","Art","","","Art - Rock art - Conservation"
"XX43936","Art - Crafts","Art","","Arts and crafts;Crafts",""
"XX43248","Art - Crafts - Advertising and marketing","Art - Crafts","","Arts and crafts - Advertising and marketing;Arts and crafts - Marketing;Advertising and marketing - Crafts;Crafts - Advertising and marketing;Crafts - Marketing;Marketing - Crafts;Art - Crafts - Marketing",""
"XX35457","Art - Crafts - Baskets and basketmaking","Art - Crafts","","Crafts - Baskets and basketmaking;Arts and crafts - Baskets and basketmaking;Baskets and basketmaking;Basketmaking",""
"XX35458","Art - Crafts - Bead works","Art - Crafts","","Crafts - Bead crafts;Bead work;Bead crafts;Arts and crafts - Bead works",""
"XX149378","Art - Crafts - Dollmaking","Art - Crafts","","Dollmaking",""
"XX35247","Art - Crafts - Education","Art - Crafts","","Education - Crafts;Arts and crafts - Education;Arts and crafts education","Education - Skills and curriculum"
"XX35459","Art - Crafts - Glass works","Art - Crafts","","Arts and crafts - Glass works;Crafts - Glass crafts;Glass works;Glass crafts",""
"XX35460","Art - Crafts - Jewellery","Art - Crafts","","Arts and crafts - Jewellery;Crafts - Jewellery crafts;Jewellery crafts",""
"XX35461","Art - Crafts - Leather and skin works","Art - Crafts","","Crafts - Leather crafts;Arts and crafts - Leather works;Leather works;Leather crafts;Skin works",""
"XX65519","Art - Crafts - Leather and skin works - Cloaks","Art - Crafts - Leather and skin works","","Skin cloaks;Cloaks",""
"XX35462","Art - Crafts - Mats and mat making","Art - Crafts","","Crafts - Mats and mat making;Arts and crafts - Mats and mat making;Arts - Crafts - Rug and rug making;Rugs and rug making;Mats and mat making;Art - Crafts - Rugs and rug making",""
